sk_fato,data_referencia,sk_indicador,valor,preenchido,vigencia_inicio,vigencia_fim,registro_atual
1,2024-01-02,1,0.043739,False,2026-05-28 18:52:28.093221,,True
2,2024-01-02,2,4.8874,False,2026-05-28 18:52:28.093221,,True
3,2024-01-02,2,4.8935,False,2026-05-28 18:52:28.093221,,True
4,2024-01-02,2,4.8797,False,2026-05-28 18:52:28.093221,,True
5,2024-01-02,2,4.9034,False,2026-05-28 18:52:28.093221,,True
6,2024-01-02,2,4.891,False,2026-05-28 18:52:28.093221,,True
7,2024-01-02,3,5.3527,False,2026-05-28 18:52:28.093221,,True
8,2024-01-02,3,5.3589,False,2026-05-28 18:52:28.093221,,True
9,2024-01-02,3,5.3491,False,2026-05-28 18:52:28.093221,,True
10,2024-01-02,3,5.3653,False,2026-05-28 18:52:28.093221,,True
11,2024-01-02,3,5.3517,False,2026-05-28 18:52:28.093221,,True
12,2024-01-03,1,0.043739,False,2026-05-28 18:52:28.093221,,True
13,2024-01-03,2,4.9206,False,2026-05-28 18:52:28.093221,,True
14,2024-01-03,2,4.9093,False,2026-05-28 18:52:28.093221,,True
15,2024-01-03,2,4.9161,False,2026-05-28 18:52:28.093221,,True
16,2024-01-03,2,4.9307,False,2026-05-28 18:52:28.093221,,True
17,2024-01-03,2,4.9262,False,2026-05-28 18:52:28.093221,,True
18,2024-01-03,3,5.3649,False,2026-05-28 18:52:28.093221,,True
19,2024-01-03,3,5.3614,False,2026-05-28 18:52:28.093221,,True
20,2024-01-03,3,5.36,False,2026-05-28 18:52:28.093221,,True
21,2024-01-03,3,5.3819,False,2026-05-28 18:52:28.093221,,True
22,2024-01-03,3,5.3804,False,2026-05-28 18:52:28.093221,,True
23,2024-01-04,1,0.043739,False,2026-05-28 18:52:28.093221,,True
24,2024-01-04,2,4.9123,False,2026-05-28 18:52:28.093221,,True
25,2024-01-04,2,4.9202,False,2026-05-28 18:52:28.093221,,True
26,2024-01-04,2,4.9282,False,2026-05-28 18:52:28.093221,,True
27,2024-01-04,2,4.9122,False,2026-05-28 18:52:28.093221,,True
28,2024-01-04,2,4.9182,False,2026-05-28 18:52:28.093221,,True
29,2024-01-04,3,5.379,False,2026-05-28 18:52:28.093221,,True
