id_execucao,rotulo,etapa,status,linhas_retornadas,duracao_s,executado_em,mensagem_erro
2fb00655-02d6-4e28-b14f-58c971524f21,SELIC,bronze,success,,,2026-05-28 18:47:23.980467,
9c8767be-e58f-448e-8a4b-5fc16096ca71,PTAX_USD,bronze,success,,,2026-05-28 18:47:23.980467,
807948cd-9ed8-4628-bd20-d929645b12af,PTAX_EUR,bronze,success,,,2026-05-28 18:47:23.980467,
7487e27c-d973-4209-a10a-343f418bc8f6,INDICADORES,silver,success,3618.0,,2026-05-28 18:47:23.980467,
199535fd-fe7a-40b5-a6b1-bcd3ad5f56c2,FCT_INDICADOR_DIARIO,gold,success,3618.0,,2026-05-28 18:47:23.980467,
aa5444af-9ca3-410b-bb87-50de7e387ad3,SELIC,bronze,success,,,2026-05-28 18:49:29.544409,
631c1175-65fb-4fea-b588-58582eee4397,PTAX_USD,bronze,success,,,2026-05-28 18:49:29.544409,
63a62a75-a4b9-47a7-8a56-1d36a1269f2e,PTAX_EUR,bronze,success,,,2026-05-28 18:49:29.544409,
cf190862-efda-4271-89cf-d2bf408ed423,INDICADORES,silver,success,3618.0,,2026-05-28 18:49:29.544409,
dc7880cc-aa5f-4ae1-bde1-d4a178508577,FCT_INDICADOR_DIARIO,gold,success,3618.0,,2026-05-28 18:49:29.544409,
e6740f30-8e73-44b5-9e6e-86aa08d1cee2,SELIC,bronze,success,,0.03,2026-05-28 18:52:28.148653,
ef687d36-9561-4be4-844e-0c5480a47209,PTAX_USD,bronze,success,,0.03,2026-05-28 18:52:28.148653,
9af39722-fb5c-4640-b442-0ae5e3581fe1,PTAX_EUR,bronze,success,,0.03,2026-05-28 18:52:28.148653,
bdcae9a4-8b8d-404a-a6ba-9713ef932589,INDICADORES,silver,success,3618.0,0.03,2026-05-28 18:52:28.148653,
5d95c8c7-55c8-4e4c-ba99-7c148fe2735d,FCT_INDICADOR_DIARIO,gold,success,3618.0,0.03,2026-05-28 18:52:28.148653,
